tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10
T10-T12,Mon-Wed,>120 Days (W7),51-100,51,100,,T13-T15,T15,$519 ,$459 ,$339 ,358,358,358,358,0,0,0
T10-T12,Mon-Wed,60-120 Days (W6),0-20,0,20,,T10-T12,T10,$430 ,$391 ,$254 ,246,246,246,246,0,0,0
T10-T12,Mon-Wed,60-120 Days (W6),21-30,21,30,,T10-T12,T12,$469 ,$420 ,$283 ,264,264,264,264,0,0,0
T10-T12,Mon-Wed,60-120 Days (W6),31-50,31,50,,T13-T15,T13,$489 ,$430 ,$293 ,286,286,286,286,0,0,0
T10-T12,Mon-Wed,60-120 Days (W6),51-100,51,100,,T13-T15,T14,$499 ,$440 ,$322 ,316,316,316,316,0,0,0
T10-T12,Mon-Wed,46-59 Days (W5),0-10,0,10,,T10-T12,T10,$421 ,$383 ,$249 ,241,241,241,241,0,0,0
T10-T12,Mon-Wed,46-59 Days (W5),11-30,11,30,,T10-T12,T12,$460 ,$412 ,$277 ,259,259,259,259,0,0,0
T10-T12,Mon-Wed,46-59 Days (W5),31-50,31,50,,T13-T15,T14,$489 ,$431 ,$316 ,270,270,270,270,0,0,0
T10-T12,Mon-Wed,46-59 Days (W5),51-100,51,100,,T16,T16,$508 ,$450 ,$335 ,299,299,299,299,0,0,0
T10-T12,Mon-Wed,31-45 Days (W4),0-10,0,10,,T10-T12,T10,$413 ,$375 ,$243 ,236,236,236,236,0,0,0
T10-T12,Mon-Wed,31-45 Days (W4),11-30,11,30,,T10-T12,T11,$431 ,$394 ,$262 ,254,254,254,254,0,0,0
T10-T12,Mon-Wed,31-45 Days (W4),31-50,31,50,,T13-T15,T12,$450 ,$403 ,$272 ,265,265,265,265,0,0,0
T10-T12,Mon-Wed,31-45 Days (W4),51-100,51,100,,T16,T14,$478 ,$422 ,$309 ,282,282,282,282,0,0,0
T10-T12,Mon-Wed,22-30 Days (W3),0-10,0,10,,T7-T9,T7,$339 ,$303 ,$220 ,231,231,231,231,0,0,0
T10-T12,Mon-Wed,22-30 Days (W3),11-30,11,30,,T10-T12,T9,$376 ,$339 ,$231 ,248,248,248,248,0,0,0
T10-T12,Mon-Wed,22-30 Days (W3),31-50,31,50,,T10-T12,T11,$422 ,$385 ,$257 ,259,259,259,259,0,0,0
T10-T12,Mon-Wed,22-30 Days (W3),51-100,51,100,,T13-T15,T12,$441 ,$395 ,$266 ,276,276,276,276,0,0,0
T10-T12,Mon-Wed,10-21 Days (W2),0-20,0,20,,T7-T9,T6,$314 ,$269 ,$206 ,226,226,226,226,0,0,0
T10-T12,Mon-Wed,10-21 Days (W2),21-30,21,30,,T7-T9,T8,$350 ,$314 ,$220 ,243,243,243,243,0,0,0
T10-T12,Mon-Wed,10-21 Days (W2),31-60,31,60,,T10-T12,T9,$368 ,$332 ,$226 ,253,253,253,253,0,0,0
T10-T12,Mon-Wed,10-21 Days (W2),61-100,61,100,,T13-T15,T10,$395 ,$359 ,$233 ,270,270,270,270,0,0,0
T10-T12,Mon-Wed,0-9 Days (W1),0-30,0,30,0-1,T4-T6,T4,$263 ,$228 ,$175 ,201,201,201,201,0,0,0
T10-T12,Mon-Wed,0-9 Days (W1),0-30,0,30,2-3,T4-T6,T5,$290 ,$246 ,$193 ,218,218,218,218,0,0,0
T10-T12,Mon-Wed,0-9 Days (W1),0-30,0,30,4-6,T4-T6,T6,$307 ,$263 ,$202 ,225,225,225,225,0,0,0
T10-T12,Mon-Wed,0-9 Days (W1),0-30,0,30,7-9,T4-T6,T7,$325 ,$290 ,$210 ,233,233,233,233,0,0,0
T10-T12,Mon-Wed,0-9 Days (W1),31-60,31,60,,T10-T12,T8,$342 ,$307 ,$215 ,243,243,243,243,0,0,0
T10-T12,Mon-Wed,0-9 Days (W1),61-80,61,80,,T13-T15,T9,$360 ,$325 ,$221 ,257,257,257,257,0,0,0
T10-T12,Mon-Wed,0-9 Days (W1),81-100,81,100,,T13-T15,T10,$386 ,$351 ,$228 ,274,274,274,274,0,0,0
T13-T15,Mon-Wed,>120 Days (W7),0-20,0,20,,T13-T15,T13,$499 ,$439 ,$299 ,273,273,273,273,0,0,0
T13-T15,Mon-Wed,>120 Days (W7),21-30,21,30,,T13-T15,T14,$509 ,$449 ,$329 ,297,297,297,297,0,0,0
T13-T15,Mon-Wed,>120 Days (W7),31-50,31,50,,T16,T15,$519 ,$459 ,$339 ,348,348,348,348,0,0,0
T13-T15,Mon-Wed,>120 Days (W7),51-100,51,100,,T16,T16,$529 ,$469 ,$349 ,429,429,429,429,0,0,0
T13-T15,Mon-Wed,60-120 Days (W6),0-20,0,20,,T13-T15,T13,$489 ,$430 ,$293 ,258,258,258,258,0,0,0
T13-T15,Mon-Wed,60-120 Days (W6),21-30,21,30,,T13-T15,T14,$499 ,$440 ,$322 ,281,281,281,281,0,0,0
T13-T15,Mon-Wed,60-120 Days (W6),31-50,31,50,,T16,T15,$509 ,$450 ,$332 ,307,307,307,307,0,0,0
T13-T15,Mon-Wed,60-120 Days (W6),51-100,51,100,,T16,T16,$518 ,$460 ,$342 ,386,386,386,386,0,0,0
T13-T15,Mon-Wed,46-59 Days (W5),0-10,0,10,,T13-T15,T13,$479 ,$421 ,$287 ,247,247,247,247,0,0,0
T13-T15,Mon-Wed,46-59 Days (W5),11-30,11,30,,T13-T15,T14,$489 ,$431 ,$316 ,265,265,265,265,0,0,0
T13-T15,Mon-Wed,46-59 Days (W5),31-50,31,50,,T16,T15,$498 ,$441 ,$325 ,291,291,291,291,0,0,0
T13-T15,Mon-Wed,46-59 Days (W5),51-100,51,100,,T16,T16,$508 ,$450 ,$335 ,343,343,343,343,0,0,0
T13-T15,Mon-Wed,31-45 Days (W4),0-10,0,10,,T13-T15,T11,$431 ,$394 ,$262 ,242,242,242,242,0,0,0
