Listing ID,PMS Name,Date,Units,no_booked,no_blocked,blocking_units,Bookable Units,nightly_revenue,Vacant Units
203812___362535,cloudbeds,1/26/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/26/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/26/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/26/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/26/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/26/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/26/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/26/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/26/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/26/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/26/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/26/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/27/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/27/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/27/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/27/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/27/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/27/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/27/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/27/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/27/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/27/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/27/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/27/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/28/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/28/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/28/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/28/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/28/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/28/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/28/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/28/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/28/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/28/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/28/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/28/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/29/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/29/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/29/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/29/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/29/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/29/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/29/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/29/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/29/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/29/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/29/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/29/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/30/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/30/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/30/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/30/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/30/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/30/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/30/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/30/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/30/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/30/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/30/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/30/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/31/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/31/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/31/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/31/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/31/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/31/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/31/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/31/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/31/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/31/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/31/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/31/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,2/1/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,2/1/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,2/1/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,2/1/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,2/1/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,2/1/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,2/1/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,2/1/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,2/1/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,2/1/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,2/1/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,2/1/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,2/2/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,2/2/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,2/2/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,2/2/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,2/2/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,2/2/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,2/2/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,2/2/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,2/2/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,2/2/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,2/2/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,2/2/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,2/3/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,2/3/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,2/3/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,2/3/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,2/3/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,2/3/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,2/3/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,2/3/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,2/3/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,2/3/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,2/3/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,2/3/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,2/4/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,2/4/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,2/4/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,2/4/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,2/4/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,2/4/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,2/4/21,1,0,1,1,0,0,0
