tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7
T7-T9,Mon-Wed,14-33 Days (W2),0-16%,0,16,,,T5,$197,$217,$239,$263,$290,$318,$341
T7-T9,Mon-Wed,14-33 Days (W2),17-33%,17,33,,,T6,$224,$246,$271,$298,$327,$360,$387
T7-T9,Mon-Wed,14-33 Days (W2),34-50%,34,50,,,T7,$253,$279,$307,$337,$371,$408,$438
T7-T9,Mon-Wed,14-33 Days (W2),50-100%,50,100,,,T8,$287,$316,$346,$381,$419,$461,$496
T7-T9,Thu-Sun,14-33 Days (W2),0-16%,0,16,,,T5,$237,$260,$287,$316,$347,$382,$410
T7-T9,Thu-Sun,14-33 Days (W2),17-33%,17,33,,,T6,$268,$295,$325,$357,$393,$433,$465
T7-T9,Thu-Sun,14-33 Days (W2),34-50%,34,50,,,T7,$304,$335,$368,$405,$445,$489,$526
T7-T9,Thu-Sun,14-33 Days (W2),50-100%,50,100,,,T8,$344,$378,$416,$458,$503,$553,$594
T7-T9,Fri-Sat,14-33 Days (W2),0-16%,0,16,,,T5,$284,$313,$344,$379,$416,$458,$492
T7-T9,Fri-Sat,14-33 Days (W2),17-33%,17,33,,,T6,$322,$354,$390,$429,$472,$519,$558
T7-T9,Fri-Sat,14-33 Days (W2),34-50%,34,50,,,T7,$365,$402,$441,$485,$534,$587,$631
T7-T9,Fri-Sat,14-33 Days (W2),50-100%,50,100,,,T8,$413,$454,$499,$549,$603,$664,$713
T7-T9,Mon-Wed,34-61 Days (W3),0-12%,0,12,,,T8,$269,$296,$324,$357,$393,$432,$465
T7-T9,Mon-Wed,34-61 Days (W3),13-33%,13,33,,,T9,$305,$334,$368,$404,$445,$489,$526
T7-T9,Mon-Wed,34-61 Days (W3),34-50%,34,50,,,T10,$344,$379,$416,$458,$504,$555,$595
T7-T9,Mon-Wed,34-61 Days (W3),51-70%,51,70,,,T11,$389,$428,$471,$518,$570,$627,$674
T7-T9,Mon-Wed,34-61 Days (W3),70-100%,70,100,,,T13,$484,$532,$586,$644,$709,$780,$838
T7-T9,Thu-Sun,34-61 Days (W3),0-12%,0,12,,,T8,$323,$354,$390,$429,$471,$518,$557
T7-T9,Thu-Sun,34-61 Days (W3),13-33%,13,33,,,T9,$365,$401,$442,$486,$534,$587,$631
