tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_4
T5-T6,Thu-Sun,> 181 Days (W5),0-5%,0,5,,,T6,293,403,567
T5-T6,Thu-Sun,> 181 Days (W5),6-10%,6,10,,,T6,302,415,584
T5-T6,Thu-Sun,> 181 Days (W5),11-20%,11,20,,,T6,311,427,601
T5-T6,Thu-Sun,> 181 Days (W5),21-100%,21,100,,,T7,336,506,773
T5-T6,Fri-Sat,> 181 Days (W5),0-5%,0,5,,,T6,386,532,748
T5-T6,Fri-Sat,> 181 Days (W5),6-10%,6,10,,,T6,398,548,770
T5-T6,Fri-Sat,> 181 Days (W5),11-20%,11,20,,,T6,409,564,793
T5-T6,Fri-Sat,> 181 Days (W5),21-100%,21,100,,,T7,441,667,1019
T5-T6,Mon-Wed,91-180 Days (W4),0-5%,0,5,,,T6,251,346,486
T5-T6,Mon-Wed,91-180 Days (W4),6-15%,6,15,,,T6,258,356,501
T5-T6,Mon-Wed,91-180 Days (W4),16-25%,16,25,,,T6,266,367,515
T5-T6,Mon-Wed,91-180 Days (W4),26-100%,26,100,,,T7,287,434,662
T5-T6,Thu-Sun,91-180 Days (W4),0-5%,0,5,,,T6,287,395,556
T5-T6,Thu-Sun,91-180 Days (W4),6-15%,6,15,,,T6,296,407,572
T5-T6,Thu-Sun,91-180 Days (W4),16-25%,16,25,,,T6,304,419,589
T5-T6,Thu-Sun,91-180 Days (W4),26-100%,26,100,,,T7,329,496,757
T5-T6,Fri-Sat,91-180 Days (W4),0-5%,0,5,,,T6,378,521,733
T5-T6,Fri-Sat,91-180 Days (W4),6-15%,6,15,,,T6,390,537,755
T5-T6,Fri-Sat,91-180 Days (W4),16-25%,16,25,,,T6,401,553,777
T5-T6,Fri-Sat,91-180 Days (W4),26-100%,26,100,,,T7,433,654,999
T5-T6,Mon-Wed,31-90 Days (W3),0-5%,0,5,,,T5,234,295,381
T5-T6,Mon-Wed,31-90 Days (W3),6-20%,6,20,,,T6,253,349,490
T5-T6,Mon-Wed,31-90 Days (W3),21-35%,21,35,,,T7,274,413,631
T5-T6,Mon-Wed,31-90 Days (W3),36-100%,36,100,,,T7,281,425,649
T5-T6,Thu-Sun,31-90 Days (W3),0-5%,0,5,,,T5,268,337,436
T5-T6,Thu-Sun,31-90 Days (W3),6-20%,6,20,,,T6,290,398,561
T5-T6,Thu-Sun,31-90 Days (W3),21-35%,21,35,,,T7,313,472,721
T5-T6,Thu-Sun,31-90 Days (W3),36-100%,36,100,,,T7,322,486,742
T5-T6,Fri-Sat,31-90 Days (W3),0-5%,0,5,,,T5,352,444,574
T5-T6,Fri-Sat,31-90 Days (W3),6-20%,6,20,,,T6,382,526,740
T5-T6,Fri-Sat,31-90 Days (W3),21-35%,21,35,,,T7,412,623,951
T5-T6,Fri-Sat,31-90 Days (W3),36-100%,36,100,,,T7,424,640,978
T5-T6,Mon-Wed,8-30 Days (W2),0-10%,0,10,,,T3,208,218,239
T5-T6,Mon-Wed,8-30 Days (W2),11-25%,11,25,,,T4,225,259,308
T5-T6,Mon-Wed,8-30 Days (W2),26-40%,26,40,,,T5,243,306,396
