tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4
T7-T9,Mon-Wed,60-90 Days (W5),21-35%,21,35,,,T8,$378,$434,$456,$525
T7-T9,Thu-Sun,60-90 Days (W5),21-35%,21,35,,,T8,$426,$490,$514,$590
T7-T9,Fri-Sat,60-90 Days (W5),21-35%,21,35,,,T8,$605,$695,$730,$839
T7-T9,Mon-Wed,60-90 Days (W5),36-50%,36,50,,,T9,$424,$487,$511,$588
T7-T9,Thu-Sun,60-90 Days (W5),36-50%,36,50,,,T9,$480,$552,$580,$667
T7-T9,Fri-Sat,60-90 Days (W5),36-50%,36,50,,,T9,$679,$781,$821,$944
T7-T9,Mon-Wed,60-90 Days (W5),51-65%,51,65,,,T10,$477,$549,$577,$663
T7-T9,Thu-Sun,60-90 Days (W5),51-65%,51,65,,,T10,$544,$625,$656,$754
T7-T9,Fri-Sat,60-90 Days (W5),51-65%,51,65,,,T10,$765,$879,$923,"$1,062"
T7-T9,Mon-Wed,60-90 Days (W5),66-82%,66,82,,,T12,$578,$665,$698,$802
T7-T9,Thu-Sun,60-90 Days (W5),66-82%,66,82,,,T12,$664,$764,$802,$923
T7-T9,Fri-Sat,60-90 Days (W5),66-82%,66,82,,,T12,$929,"$1,068","$1,122","$1,290"
T7-T9,Mon-Wed,60-90 Days (W5),83-100%,83,100,,,T13,$645,$742,$779,$896
T7-T9,Thu-Sun,60-90 Days (W5),83-100%,83,100,,,T13,$744,$855,$898,"$1,033"
T7-T9,Fri-Sat,60-90 Days (W5),83-100%,83,100,,,T13,"$1,040","$1,196","$1,255","$1,444"
T7-T9,Mon-Wed,30-59 Days (W4),0-25%,0,25,,,T5,$268,$308,$324,$372
T7-T9,Thu-Sun,30-59 Days (W4),0-25%,0,25,,,T5,$299,$344,$361,$416
T7-T9,Fri-Sat,30-59 Days (W4),0-25%,0,25,,,T5,$429,$493,$518,$596
T7-T9,Mon-Wed,30-59 Days (W4),26-40%,26,40,,,T6,$304,$349,$367,$422
T7-T9,Thu-Sun,30-59 Days (W4),26-40%,26,40,,,T6,$339,$390,$409,$471
T7-T9,Fri-Sat,30-59 Days (W4),26-40%,26,40,,,T6,$486,$560,$587,$675
T7-T9,Mon-Wed,30-59 Days (W4),41-55%,41,55,,,T7,$346,$398,$418,$481
T7-T9,Thu-Sun,30-59 Days (W4),41-55%,41,55,,,T7,$389,$447,$469,$539
T7-T9,Fri-Sat,30-59 Days (W4),41-55%,41,55,,,T7,$554,$637,$669,$769
T7-T9,Mon-Wed,30-59 Days (W4),56-70%,56,70,,,T9,$427,$491,$515,$592
T7-T9,Thu-Sun,30-59 Days (W4),56-70%,56,70,,,T9,$483,$556,$584,$672
T7-T9,Fri-Sat,30-59 Days (W4),56-70%,56,70,,,T9,$684,$787,$827,$951
T7-T9,Mon-Wed,30-59 Days (W4),71-82%,71,82,,,T11,$524,$602,$632,$727
T7-T9,Thu-Sun,30-59 Days (W4),71-82%,71,82,,,T11,$599,$689,$724,$832
T7-T9,Fri-Sat,30-59 Days (W4),71-82%,71,82,,,T11,$840,$966,"$1,014","$1,166"
T7-T9,Mon-Wed,30-59 Days (W4),83-100%,83,100,,,T12,$582,$669,$702,$807
T7-T9,Thu-Sun,30-59 Days (W4),83-100%,83,100,,,T12,$668,$768,$807,$928
T7-T9,Fri-Sat,30-59 Days (W4),83-100%,83,100,,,T12,$934,"$1,074","$1,128","$1,297"
T7-T9,Mon-Wed,15-29 Days (W3),0-25%,0,25,,,T5,$262,$302,$317,$365
