listing,listing_id,date,Live Rate $,occupancy_percent,suggested_rate,adjusted_rate,final_tier,booking_window,error_details
Spyglass,203812___364776,2025-07-27,503,-425.0,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:60-120 Days (W6), Occ:-425.00%, Urg:, RateCol:rate_1"
Spyglass,203812___364776,2025-07-28,410,-433.33,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-433.33%, Urg:, RateCol:rate_1"
Spyglass,203812___364776,2025-07-29,410,-408.33,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-408.33%, Urg:, RateCol:rate_1"
Spyglass,203812___364776,2025-07-30,410,-408.33,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-408.33%, Urg:, RateCol:rate_1"
Spyglass,203812___364776,2025-07-31,401,-416.67,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Thu-Sun, Win:60-120 Days (W6), Occ:-416.67%, Urg:, RateCol:rate_1"
Spyglass,203812___364776,2025-08-01,590,-391.67,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Fri-Sat, Win:60-120 Days (W6), Occ:-391.67%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-01,462,-300.0,ERROR: Rate Lookup Failed,,T4-T6,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:31-45 Days (W4), Occ:-300.00%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-02,462,-366.67,ERROR: Rate Lookup Failed,,T4-T6,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:31-45 Days (W4), Occ:-366.67%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-03,506,-500.0,ERROR: Rate Lookup Failed,,T10-T12,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T10-T12, Day:Thu-Sun, Win:31-45 Days (W4), Occ:-500.00%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-04,1148,-483.33,ERROR: Rate Lookup Failed,,T10-T12,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:31-45 Days (W4), Occ:-483.33%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-05,1148,-400.0,ERROR: Rate Lookup Failed,,T10-T12,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-06,492,-408.33,ERROR: Rate Lookup Failed,,T10-T12,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T10-T12, Day:Thu-Sun, Win:46-59 Days (W5), Occ:-408.33%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-07,410,-383.33,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-383.33%, Urg:, RateCol:rate_1"
